IMDB_ID,NORMALIZED_REVENUE
tt16449300,37459
tt19242256,576
tt19242256,576
tt19242256,576
tt1796562,279064
tt0477002,740
tt0477002,740
tt0477002,740
tt3753208,52
tt4388598,5
tt12269174,162913
tt1735932,193373
tt11985684,4
tt0085691,36068
tt20358284,28895
tt20358284,28895
tt20358284,28895
tt1203521,36523
tt0110976,17564
tt0085254,24
tt0069888,8760222
tt0093784,24744
tt0445507,9
tt5545866,990045
tt2386502,3438
tt1492850,1420394
tt14667696,10265
tt0078010,213672
tt0039574,1904716
tt5225580,95645
tt11252938,110
tt3454030,831
tt5176052,597
tt4767538,7810
tt2301063,124991
tt0082593,74648
tt0405271,4595
tt0405271,4595
tt0405271,4595
tt3594812,32099
tt1932660,247930
tt0082261,93539
tt0082204,15028
tt0283486,35919
tt0105374,96423
tt0376588,3678
tt0376588,3678
tt0376588,3678
tt5299638,4844
tt22325980,44195
tt1507315,10330
tt1223411,4024
tt1223411,4024
tt1223411,4024
tt1093849,4
tt1093849,4
tt1093849,4
tt5272094,27358
tt0856831,13948
tt4316192,1289152
tt1832334,3
tt1861281,2247
tt1861281,2247
tt1861281,2247
tt6448522,50289
tt12009844,0
tt1587426,14248
tt1714110,42932
tt6061364,4149
tt6061364,4149
tt12519206,2768
tt1132606,130605
tt2618214,63220
tt0264683,749
tt0264683,749
tt5232522,232654
tt0285940,192933
tt5081340,771035
tt0203402,59138
tt4913810,5628
tt1264071,53156
tt1353183,2152256
tt1039969,26382
tt0110140,141709
tt17052842,269658
tt17052842,269658
tt0065590,63843
tt1801113,3151
tt1430625,2176
tt1430625,2176
tt1430625,2176
tt0823261,1442
tt11398388,3752
tt11398388,3752
tt11398388,3752
tt0179223,70312
tt3499632,1781
tt5458364,35141
tt1346629,12647
tt1391851,636158
tt0039301,903890
tt0104816,1833936
tt4301440,593
tt1548621,210005
tt4148300,387325
tt0118127,7706
tt0118127,7706
tt2058024,197044
tt0114587,45668
tt2576858,95012
tt1305907,619069
tt3095464,5344
tt0093736,3337
tt6186248,2187436
tt5040430,925290
tt0084081,37553
tt0273045,26
tt0095806,68
tt0368264,7
tt0368264,7
tt0368264,7
tt2082513,1
tt11020212,855
tt0062958,215387
tt0056853,2111
tt15090944,477
tt9407558,6974
tt0881935,35
tt0378437,7815
tt2899136,46156
tt0314871,24386
tt0314871,24386
tt0314871,24386
tt0413283,93627
tt7350876,1120
tt2349050,2393
tt15489976,615132
tt15489976,615132
tt7066030,190006
tt1255912,814
tt2673854,1280
tt0076033,4050561
tt0076033,4050561
tt0076033,4050561
tt0076033,4050561
tt1918796,4
tt9537346,458072
tt0349115,114592
tt0433578,342805
tt0089996,1839799
tt12872350,1272
tt2538802,0
tt13776794,705501
tt0460411,16
tt7816386,8806
tt0259960,292087
tt2032568,73
tt0113989,93626
tt18305690,1071
tt23036192,228
tt1732563,6250
tt27122601,2
tt6449300,1136222
tt0424885,13840
tt0424885,13840
tt0424885,13840
tt6237562,1120
tt0118717,10
tt8942260,314534
tt0395969,1485071
tt6985020,19
tt8377736,1120
tt0138052,35846
tt2736854,443936
tt0442973,2306
tt0445841,19535240
tt7627782,3716263
tt7690774,49344
tt2699290,374118
tt0486619,5
tt1831839,61
tt0065405,506655
tt0089576,263007
tt0102263,222452
tt8166164,1120
tt0071631,58944
tt0464162,335180
tt4619460,1284
tt9876312,4990
tt0471879,191282
tt0078544,100650
tt1579396,129
tt7967954,120918
tt8037610,71104
tt0097098,105432
tt0097098,105432
tt16374352,1608650
tt10380980,14
tt6217724,1120
tt6264558,191
tt1334479,148279
tt1334479,148279
tt1334479,148279
tt3437892,1
tt8785134,556857
tt0096938,48476
tt2638456,9709
tt2317744,75724
tt0777962,5759
tt1686326,38431
tt1393744,827
tt1393744,827
tt1393744,827
tt6355328,11469
tt2418328,13559
tt0107799,39739
tt1437367,257830
tt0079475,234719
tt2631098,43446
tt3415692,25343
tt5835994,4519
tt6437856,782320
tt9362492,76409
tt9362492,76409
tt9362492,76409
tt5747714,2280775
tt7051292,172037
tt14390520,1
tt14391292,110
tt1657501,8097
tt0039293,2074667
tt3194482,0
tt9569212,312
tt7230436,300
tt0407230,412676
tt5957104,293
tt5957104,293
tt5957104,293
tt27873958,361049
tt2391817,220414
tt12049484,384
tt1796687,473
tt7881284,234272
tt0385316,92926
tt0405775,93627
tt3300946,145
tt5994874,1171
tt5180952,178
tt3731706,59
tt0940930,697
tt15133392,1505
tt2488666,10600
tt2488666,10600
tt6861724,113
tt6155648,0
tt4693440,860
tt0240347,4057
tt4526922,3882
tt0470745,935831
tt2408790,1
tt2603600,49073
tt2916468,93
tt0099331,267251
tt5718290,4463
tt5718290,4463
tt5718290,4463
tt0097254,22278
tt6217672,1147
tt6211480,172037
tt6571670,2883
tt6449580,234
tt1629248,12892
tt7762454,11469
tt0082119,160254
tt5368496,87
tt0434246,2548
tt0089216,17034
tt0103680,12163
tt2341768,718161
tt0431489,84235
tt5176762,937
tt0238319,66383
tt0183064,90909
tt8002556,543
tt7499368,24558
tt0892862,23728
tt0892862,23728
tt8657692,69003
tt7901572,11196
tt8393764,21273
tt4769500,718732
tt0342248,1728
tt6850102,1
tt1601453,119891
tt5275096,12
tt9810480,335786
tt0328104,26128
tt4291166,11714
tt9073702,11196
tt3421354,11862
tt1200263,6139384
tt1200263,6139384
tt9663764,40289325
tt9663764,40289325
tt6513084,28673
tt10314508,1820626
tt1118627,15880
tt7563890,11469
tt8316026,1008
tt0427637,26127633
tt4589218,27412497
tt4589218,27412497
tt0118907,19265
tt5934728,0
tt6789462,24944
tt3526618,172485
tt7594378,9438
tt1661847,6666
tt3005092,965
tt0134108,13
tt1998244,183678
tt6987468,384
tt6987468,384
tt2457382,5101
tt3848476,2924
tt3717748,3666
tt4276532,4004
tt1029314,1864
tt2663746,3466
tt2660626,7199
tt4001950,12689
tt4319844,3174
tt2677108,4493
tt1951301,2
tt5124206,3406
tt2722816,6861
tt3840036,3262
tt3713626,991
tt7881364,229
tt0111673,318
tt15089192,511
tt28261198,0
tt0395977,0
tt1496472,4933
tt15541920,10
tt30399855,9
tt14149876,0
tt27634529,10
tt14873790,519
tt22695246,4279
tt1132586,2623
tt4625352,118621
tt0350107,34712
tt0345618,18450
tt27737511,418
tt22899980,147
tt6522698,46
tt3056968,34256
tt15387654,4925
tt28630907,5931
tt0345412,15630096
tt28354776,19
tt0106929,51277
tt6447850,4
tt0498521,669690
tt0780124,139137
tt28509692,4827
tt3680638,59
tt2960486,750
tt19097336,19
tt6447664,47
tt12783826,6108
tt12783826,6108
tt12783826,6108
tt2030323,9
tt23289160,9772783
tt23289160,9772783
tt11146760,12717
tt6495056,27197996
tt6495056,27197996
tt7130916,130180
tt7130916,130180
tt13117360,45798
tt10448578,918
tt8107778,0
tt2202375,393
tt2194914,735
tt18264554,88301
tt8148198,3514
tt28602625,930
tt29005755,1301798
tt2280344,2501
tt18566850,1
tt15654328,6673833
tt15654328,6673833
tt14506102,17762
tt5440404,59
tt20297790,38431
tt0407557,17246562
tt30467887,4312
tt15049180,2306
tt17371272,571
tt1274737,5662
tt29639800,6881
tt0160498,69966
tt0160498,69966
tt0160498,69966
tt8339300,1629
tt9420910,3425
tt9002248,1998
tt6924204,15395
tt9269346,2786
tt9267032,2491
tt18363072,81587
tt30644187,102284
tt19488282,341078
tt2882558,6123
tt8408288,840
tt0334559,10339
tt9478118,1731
tt9477662,2563
tt9477862,2020
tt9477742,5566
tt9479136,5715
tt9478848,2190
tt9585182,1288
tt0331875,104917
tt8348202,2065
tt4345774,2969
tt23861264,5
tt24335658,107
tt9887172,1395
tt9011172,1484
tt0316155,108239
tt0389166,26
tt0331015,104917
tt9002690,1107
tt9650112,734
tt8108118,593
tt8088820,1316
tt9887146,1156
tt9887212,1256
tt14051976,102284
tt0317408,105822
tt10444252,65980
tt9278264,77141
tt5644634,4920
tt5300754,57
tt9129166,97871
tt24177548,76
tt0340045,24
tt9587482,12745
tt2429144,16896
tt10858792,105423
tt24225786,119
tt9588282,2689
tt9585030,2178
tt8028766,1899
tt24517084,163
tt2283916,367
tt9887228,1288
tt8328280,1339
tt9887240,1442
tt9886966,927
tt8427126,1858
tt8108096,586
tt9887264,1592
tt9887292,1008
tt9887316,983
tt9886982,1038
tt8057330,912
tt9886944,909
tt13309416,21
tt0386757,296
tt0386757,296
tt4846920,111504
tt9478932,3719
tt9587406,4033
tt9588218,2625
tt9735090,6206
tt9587716,15050
tt9735328,6230
tt8016662,14846
tt9588290,1288
tt9649494,2457
tt9649636,3652
tt9002800,1717
tt24327088,261
tt8088800,1841
tt9735052,4897
tt9734626,4878
tt9587464,3722
tt9587420,51958
tt9876308,4851
tt9876352,5075
tt9011246,1064
tt9011054,2065
tt8031662,2601
tt3067166,286729
tt2857196,6
tt23633062,0
tt7812334,38903
tt0418746,10789
tt6467044,196
tt6545212,2575
tt5981668,119
tt0468516,43
tt8262592,5
tt9876378,872
tt9887186,1382
tt9887296,1285
tt7440448,138
tt9479046,2750
tt8580204,996
tt8088786,1550
tt9887252,1288
tt9898600,858
tt9011222,1013
tt10182450,3
tt0253004,2277
tt1254709,114186
tt10146982,336
tt25434818,66950
tt2084079,92
tt9735110,4989
tt9734686,1542
tt9585438,15832
tt9650436,1481
tt8000450,15420
tt8033712,1288
tt9734574,1679
tt9587506,51130
tt9585340,2563
tt9735392,5212
tt9517188,48791
tt5550228,377123
tt25981462,20604671
tt26459508,102284
tt26249116,42247
tt7960962,5857
tt0091944,278047
tt14451444,557913
tt9609726,87434
tt0459272,5
tt9629026,2056389
tt0362789,2553670
tt15654502,42
tt0348459,21
tt0340443,92
tt26423839,18297
tt1669799,13
tt8595414,28
tt9466424,3773
tt19859454,11529
tt13827976,56
tt9460462,134
tt0451070,859
tt0451070,859
tt0451070,859
tt0209216,57006
tt1331007,842
tt4771796,165094
tt26862791,2216763
tt10011102,110
tt12793362,26
tt27251639,368
tt10322592,15395
tt11496478,14
tt0361322,6
tt0361322,6
tt0361322,6
tt0087582,12114
tt8607728,4702
tt0046982,2400595
tt23778280,0
tt22089040,1729
tt8610214,23
tt16118098,25
tt0355041,27
tt0049373,89
tt10443326,354397
tt25971272,10
tt11750814,1147
tt12338536,27
tt6448236,265
tt4939232,4494
tt4939232,4494
tt4939232,4494
tt4939232,4494
tt4939232,4494
tt4939232,4494
tt0230851,2
tt1288466,10
tt0491911,35831
tt8824602,25315
tt11052030,1629
tt9529554,88
tt21064584,3731532
tt21064584,3731532
tt0136522,19
tt0111262,94833
tt0421139,305580
tt28519770,0
tt1954606,115
tt0447890,20
tt1870555,1356
tt5142216,504
tt7286250,46854
tt2338251,54984
tt1179046,1326
tt2800308,90849
tt4991074,9759
tt2248981,612
tt0268221,344931
tt1653906,39191
tt0080551,3014
tt3175460,96546
tt3683964,557
tt2051911,21743
tt31022259,1953
tt0073332,164200
tt2313112,342814
tt5227024,47232
tt5581736,34228
tt4075760,690
tt2885734,59
tt0110557,3120634
tt0110557,3120634
tt0055257,4042829
tt0055257,4042829
tt14153080,204288
tt14153080,204288
tt14153080,204288
tt0118539,64813
tt0118539,64813
tt0118539,64813
tt0082416,831364
tt0082416,831364
tt0082416,831364
tt6418778,8458
tt6418778,8458
tt6418778,8458
tt0265343,4689029
tt0265343,4689029
tt0265343,4689029
tt0279889,3890478
tt0279889,3890478
tt0279889,3890478
tt1477855,1072583
tt1477855,1072583
tt1477855,1072583
tt0421974,1543526
tt1724962,1985668
tt1724962,1985668
tt1724962,1985668
tt0445620,488882
tt0445620,488882
tt0445620,488882
tt5969696,5296849
tt5969696,5296849
tt5969696,5296849
tt1629705,123476
tt1629705,123476
tt1629705,123476
tt7158430,236883
tt7158430,236883
tt7158430,236883
tt2375574,72410
tt2375574,72410
tt2375574,72410
tt8296030,12010
tt8296030,12010
tt8296030,12010
tt0120610,2233617
tt0120610,2233617
tt0462229,1401635
tt0462229,1401635
tt0462229,1401635
tt0188640,4081692
tt0188640,4081692
tt0080472,8292381
tt0080472,8292381
tt0080472,8292381
tt1643222,166444
tt2693580,540
tt2693580,540
tt2693580,540
tt0385705,182751
tt0385705,182751
tt0172396,1767832
tt0172396,1767832
tt0172396,1767832
tt1160525,5673382
tt19719836,153243
tt19719836,153243
tt19719836,153243
tt0499554,2758148
tt0499554,2758148
tt0499554,2758148
tt0449994,3748370
tt0449994,3748370
tt0449994,3748370
tt2274570,2367
tt2274570,2367
tt2274570,2367
tt6951892,548609
tt6951892,548609
tt6951892,548609
tt0080130,9683123
tt0080130,9683123
tt0080130,9683123
tt6194530,57346
tt6194530,57346
tt6194530,57346
tt0124879,3148087
tt0124879,3148087
tt0124879,3148087
tt0206917,285831
tt0206917,285831
tt0206917,285831
tt0039694,2455313
tt0039694,2455313
tt0279778,11541144
tt0279778,11541144
tt0279778,11541144
tt1129445,2573735
tt1129445,2573735
tt1129445,2573735
tt0044672,38095859
tt0044672,38095859
tt0044672,38095859
tt7156144,745231
tt7156144,745231
tt2481480,24573
tt2481480,24573
tt2481480,24573
tt0049934,12924086
tt0049934,12924086
tt0110428,2890328
tt0110428,2890328
tt0110428,2890328
tt0432637,2231678
tt0432637,2231678
tt0432637,2231678
tt7026488,7310
tt7026488,7310
tt7026488,7310
tt1132449,193069
tt1132449,193069
tt1132449,193069
tt0120390,2008098
tt0120390,2008098
tt0279781,1956495
tt0279781,1956495
tt0279781,1956495
tt0099800,5677391
tt0099800,5677391
tt0099800,5677391
tt0109198,2890602
tt0109198,2890602
tt3488328,19345
tt3488328,19345
tt3488328,19345
tt7985692,306811
tt7985692,306811
tt7985692,306811
tt0092746,3328
tt0092746,3328
tt0092746,3328
tt0280720,3686617
tt0280720,3686617
tt0280720,3686617
tt0300620,126642
tt0300620,126642
tt0300620,126642
tt0105219,2876582
tt0105219,2876582
tt14379088,1468035
tt0481797,33137
tt0481797,33137
tt0481797,33137
tt0058544,2887168
tt0058544,2887168
tt7534054,179457
tt7534054,179457
tt7534054,179457
tt0120831,949039
tt0120831,949039
tt0120831,949039
tt1204883,20563
tt1987018,491189
tt0075265,39503513
tt0075265,39503513
tt0075265,39503513
tt2115295,123150
tt2115295,123150
tt2115295,123150
tt6182078,161482
tt6182078,161482
tt6182078,161482
tt0071569,6270632
tt0071569,6270632
tt0071569,6270632
tt0762121,6471867
tt0762121,6471867
tt0762121,6471867
tt0865554,50074
tt0865554,50074
tt0865554,50074
tt10545696,570208
tt10545696,570208
tt0077578,19390982
tt0077578,19390982
tt0077578,19390982
tt9285882,624498
tt9285882,624498
tt9285882,624498
tt0101453,3213666
tt0101453,3213666
tt0096454,2029718
tt0096454,2029718
tt0073076,16174
tt0073076,16174
tt0073076,16174
tt3830162,132058
tt3830162,132058
tt3830162,132058
tt2609912,3889725
tt2609912,3889725
tt2609912,3889725
tt0210065,5047
tt0210065,5047
tt0210065,5047
tt0091396,23874209
tt0091396,23874209
tt0091396,23874209
tt1867093,309
tt1867093,309
tt1867093,309
tt1134629,366870
tt1134629,366870
tt1134629,366870
tt1179258,1231635
tt1179258,1231635
tt1179258,1231635
tt5991410,838974
tt12753120,294275
tt12753120,294275
tt12753120,294275
tt4144190,54973
tt4144190,54973
tt4144190,54973
tt0112571,4326311
tt0112571,4326311
tt0112571,4326311
tt0091344,1207458
tt0091344,1207458
tt0091344,1207458
tt6772524,1258266
tt6772524,1258266
tt0462338,1596202
tt0462338,1596202
tt0243255,121637
tt0243255,121637
tt0243255,121637
tt0073692,31338597
tt0073692,31338597
tt0073692,31338597
tt0479647,1767391
tt0479647,1767391
tt0086450,3678555
tt0086450,3678555
tt0086450,3678555
tt5592796,16184
tt5592796,16184
tt5592796,16184
tt7218518,2575101
tt7218518,2575101
tt5674842,1441317
tt1924273,173626
tt7035004,164667
tt7035004,164667
tt0094746,12285199
tt0094746,12285199
tt0094746,12285199
tt0378284,474393
tt0378284,474393
tt0378284,474393
tt0092115,1397012
tt0092115,1397012
tt0092115,1397012
tt0112255,76283
tt0112255,76283
tt17277414,1208812
tt17277414,1208812
tt0475937,614198
tt0475937,614198
tt0475937,614198
tt0097050,3016744
tt0097050,3016744
tt0097050,3016744
tt0456144,4396066
tt0077838,138733
tt0077838,138733
tt0077838,138733
tt0365675,363518
tt0365675,363518
tt2582784,36637
tt2582784,36637
tt2582784,36637
tt9541602,13707671
tt9541602,13707671
tt4669186,2764415
tt4669186,2764415
tt4669186,2764415
tt0489281,1463710
tt0489281,1463710
tt0489281,1463710
tt1816608,58181
tt0089606,2053754
tt0089606,2053754
tt0089606,2053754
tt1770734,217684
tt1770734,217684
tt1770734,217684
tt10763618,949214
tt0405821,1838487
tt0405821,1838487
tt5974052,339695
tt0219822,254072
tt0219822,254072
tt0219822,254072
tt1657510,164118
tt1657510,164118
tt1657510,164118
tt7214470,260956
tt0058947,9625994
tt0058947,9625994
tt0194314,219394
tt0194314,219394
tt0194314,219394
tt2112096,4441334
tt2112096,4441334
tt2112096,4441334
tt0109508,585702
tt0109508,585702
tt0109508,585702
tt0041452,2715789
tt0041452,2715789
tt10525672,771090
tt10525672,771090
tt0099776,1199620
tt0099776,1199620
tt0099776,1199620
tt0800027,475218
tt0800027,475218
tt0800027,475218
tt1791614,2767
tt1791614,2767
tt1791614,2767
tt0094792,1472257
tt0445336,249998
tt0445336,249998
tt0445336,249998
tt12441478,41777
tt12441478,41777
tt12441478,41777
tt0105839,5915461
tt0105839,5915461
tt0145893,742393
tt0145893,742393
tt0145893,742393
tt0097889,259809
tt0097889,259809
tt0142248,1949476
tt0109327,825447
tt0109327,825447
tt0443456,1251808
tt0443456,1251808
tt0443456,1251808
tt0106557,1358427
tt0106557,1358427
tt0106557,1358427
tt0100168,3475717
tt0100168,3475717
tt0100168,3475717
tt11815960,64771
tt0048140,7212688
tt0048140,7212688
tt0048140,7212688
tt3390572,1365791
tt3390572,1365791
tt0057449,1375940
tt0057449,1375940
tt0057449,1375940
tt0057449,1375940
tt9907782,440839
tt9907782,440839
tt9907782,440839
tt6958014,770
tt6958014,770
tt6958014,770
tt0131479,1595011
tt0489282,914237
tt0489282,914237
tt0489282,914237
tt4960748,855085
tt4960748,855085
tt4960748,855085
tt0920458,1311354
tt0920458,1311354
tt0920458,1311354
tt0291579,801240
tt0291579,801240
tt0291579,801240
tt0088461,184640
tt0088461,184640
tt0094082,4647521
tt0094082,4647521
tt0094082,4647521
tt0075925,46378884
tt0075925,46378884
tt0075925,46378884
tt8809652,36590
tt8809652,36590
tt8809652,36590
tt1032819,2337
tt1032819,2337
tt2283748,2179141
tt0086525,4896264
tt0086525,4896264
tt7305366,350589
tt0272147,65576
tt0272147,65576
tt0084234,1697803
tt0084234,1697803
tt0084234,1697803
tt0091445,2101612
tt0091445,2101612
tt0091445,2101612
tt0388789,508113
tt0388789,508113
tt0388789,508113
tt3540136,9489663
tt0115580,2294113
tt0115580,2294113
tt0204137,7152
tt0204137,7152
tt0204137,7152
tt0166943,2507736
tt0166943,2507736
tt0166943,2507736
tt8058874,20718
tt8058874,20718
tt8058874,20718
tt0364955,461282
tt0364955,461282
tt0364955,461282
tt5439812,363126
tt5439812,363126
tt5439812,363126
tt0085159,1778551
tt0085159,1778551
tt0085159,1778551
tt8028842,718881
tt8028842,718881
tt0398027,122791
tt0398027,122791
tt0398027,122791
tt0339147,55271
tt0339147,55271
tt0339147,55271
tt0166175,4604148
tt0166175,4604148
tt0166175,4604148
tt0090583,9919176
tt0090583,9919176
tt0090583,9919176
tt5571734,1759469
tt5571734,1759469
tt0082351,5564956
tt0082351,5564956
tt0082351,5564956
tt15242330,23990276
tt6400166,1589
tt6400166,1589
tt0097444,1587790
tt0097444,1587790
tt2043865,1900068
tt2043865,1900068
tt2207050,1298535
tt2207050,1298535
tt2207050,1298535
tt0128221,55594
tt5425264,449155
tt1483831,168499
tt1483831,168499
tt1483831,168499
tt0348593,999336
tt0348593,999336
tt0348593,999336
tt5213534,26506
tt5213534,26506
tt5213534,26506
tt1229381,447399
tt1229381,447399
tt1229381,447399
tt2125666,84862
tt2125666,84862
tt2125666,84862
tt12718300,48039
tt12718300,48039
tt12718300,48039
tt1437357,7016
tt1437357,7016
tt1437357,7016
tt0814075,27290
tt0814075,27290
tt0814075,27290
tt21867434,241762
tt21867434,241762
tt21867434,241762
tt0259484,484533
tt0259484,484533
tt0259484,484533
tt1175506,306097
tt1175506,306097
tt1175506,306097
tt0090738,6236845
tt0090738,6236845
tt0090738,6236845
tt0090738,6236845
tt0090738,6236845
tt0090738,6236845
tt0113537,132555
tt0113537,132555
tt0113537,132555
tt0105211,932108
tt0105211,932108
tt1518812,109530
tt1518812,109530
tt1518812,109530
tt0113613,79392
tt0113613,79392
tt0113613,79392
tt0113613,79392
tt0090670,601522
tt0090670,601522
tt0090670,601522
tt0307213,8941
tt0307213,8941
tt0307213,8941
tt5160938,94583
tt5160938,94583
tt5160938,94583
tt0092501,4627132
tt0092501,4627132
tt6044910,20264570
tt6044910,20264570
tt1230168,736734
tt1230168,736734
tt1230168,736734
tt1830643,4545
tt1830643,4545
tt1830643,4545
tt2178470,5551421
tt2178470,5551421
tt11121664,77813
tt11121664,77813
tt11121664,77813
tt2103264,1793138
tt2103264,1793138
tt2103264,1793138
tt0107004,3626298
tt0107004,3626298
tt0107004,3626298
tt0155711,757504
tt0155711,757504
tt0155711,757504
tt1828224,487465
tt0414951,39572
tt0414951,39572
tt0414951,39572
tt2396566,711121
tt2396566,711121
tt2396566,711121
tt0115610,197150
tt0115610,197150
tt0044916,2116437
tt0044916,2116437
tt1857913,2305
tt1857913,2305
tt1857913,2305
tt1838520,523
tt1838520,523
tt1838520,523
tt1969959,347100
tt5247192,26924
tt0089901,3760786
tt0089901,3760786
tt0089901,3760786
tt0102951,7533800
tt0102951,7533800
tt0102951,7533800
tt1673702,39960
tt1673702,39960
tt1673702,39960
tt0345551,122023
tt0345551,122023
tt0345551,122023
tt2140577,1323
tt2140577,1323
tt2140577,1323
tt9507234,2628322
tt9747594,619873
tt9747594,619873
tt10265034,246426
tt10265034,246426
tt10265034,246426
tt0115472,2706336
tt0115472,2706336
tt0039416,9119734
tt0039416,9119734
tt0099697,2492253
tt0099697,2492253
tt0099697,2492253
tt1286126,1251555
tt0060164,30216512
tt0060164,30216512
tt5721088,696133
tt5721088,696133
tt5721088,696133
tt0197521,2067854
tt0197521,2067854
tt0197521,2067854
tt0112887,52540
tt0112887,52540
tt0112887,52540
tt0048956,175990
tt0048956,175990
tt0081071,5390112
tt0081071,5390112
tt0081071,5390112
tt2990738,4303537
tt0088178,1032140
tt0088178,1032140
tt0088178,1032140
tt0100828,2152952
tt0100828,2152952
tt0100828,2152952
tt0100828,2152952
tt0100828,2152952
tt0100828,2152952
tt1687247,28231
tt1687247,28231
tt1687247,28231
tt0458364,702160
tt0458364,702160
tt0458364,702160
tt0091538,1485016
tt0091538,1485016
tt0091538,1485016
tt0176783,834105
tt0176783,834105
tt0176783,834105
tt4276752,33012164
tt4276752,33012164
tt4276752,33012164
tt0094606,7401844
tt0094606,7401844
tt0094606,7401844
tt2380331,397416
tt2380331,397416
